realtime,sleep_stage,motor,locomotion,grooming,nestgrooming,nestactivity,rearing,drinking,eating,nesting
2022-09-25 01:33:53.875,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:33:54.396,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:33:54.915,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:33:55.436,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:33:55.955,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:33:56.475,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:33:56.996,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:33:57.515,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:33:58.035,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:33:58.555,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:33:59.075,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:33:59.596,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:00.115,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:00.635,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:01.156,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:01.675,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:02.196,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:02.715,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:03.235,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:03.756,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:04.275,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:04.795,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:05.315,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:05.835,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:06.356,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:06.875,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:07.395,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:07.915,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:08.435,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:08.956,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:09.475,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:09.995,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:10.516,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:11.035,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:11.556,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:12.075,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:12.595,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:13.116,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:13.635,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:14.156,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:14.675,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:15.195,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:15.716,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:16.235,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:16.755,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:17.276,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:17.795,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:18.316,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:18.835,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:19.355,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:19.876,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:20.395,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:20.915,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:21.435,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:21.955,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:22.476,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:22.995,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:23.515,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:24.035,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:24.555,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:25.076,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:25.595,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:26.115,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:26.636,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:27.155,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:27.676,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:28.195,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:28.715,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:29.236,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:29.755,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:30.275,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:30.795,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:31.315,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:31.836,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:32.355,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:32.875,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:33.396,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:33.915,NR,0,0,0,0,0,0,0,0,0
